"Step","DDPG_short_test_track_pixel - return_train","DDPG_short_test_track_pixel - return_train__MIN","DDPG_short_test_track_pixel - return_train__MAX"
"553","1.9699999709","1.9699999709","1.9699999709"
"554","0","0","0"
"555","0.0099999998","0.0099999998","0.0099999998"
"556","0","0","0"
"557","0.1999999955","0.1999999955","0.1999999955"
"558","4.709999945","4.709999945","4.709999945"
"559","0","0","0"
"560","3.1199999414","3.1199999414","3.1199999414"
"561","0.8299999814","0.8299999814","0.8299999814"
"562","4.719999969","4.719999969","4.719999969"
"563","1.4499999825","1.4499999825","1.4499999825"
"564","0.1999999955","0.1999999955","0.1999999955"
"565","0","0","0"
"566","1.3699999787","1.3699999787","1.3699999787"
"567","0.7399999835","0.7399999835","0.7399999835"
"568","1.469999969","1.469999969","1.469999969"
"569","0.2999999933","0.2999999933","0.2999999933"
"570","0","0","0"
"571","2.1599999573","2.1599999573","2.1599999573"
"572","0","0","0"
"573","2.3699999489","2.3699999489","2.3699999489"
"574","2.7899999749","2.7899999749","2.7899999749"
"575","0.8399999812","0.8399999812","0.8399999812"
"576","3.7599999327","3.7599999327","3.7599999327"
"577","3.6299999189","3.6299999189","3.6299999189"
"578","0","0","0"
"579","1.6199999638","1.6199999638","1.6199999638"
"580","0.0199999996","0.0199999996","0.0199999996"
"581","0","0","0"
"582","3.5099999607","3.5099999607","3.5099999607"
"583","1.3699999694","1.3699999694","1.3699999694"
"584","0.1699999962","0.1699999962","0.1699999962"
"585","0.2299999949","0.2299999949","0.2299999949"
"586","0.0299999993","0.0299999993","0.0299999993"
"587","1.8699999768","1.8699999768","1.8699999768"
"588","0.0299999993","0.0299999993","0.0299999993"
"589","1.8199999686","1.8199999686","1.8199999686"
"590","0","0","0"
"591","2.0699999537","2.0699999537","2.0699999537"
"592","2.2499999497","2.2499999497","2.2499999497"
"593","0.3799999915","0.3799999915","0.3799999915"
"594","0","0","0"
"595","0.1899999958","0.1899999958","0.1899999958"
"596","0.8199999817","0.8199999817","0.8199999817"
"597","1.78999996","1.78999996","1.78999996"
"598","0.7699999828","0.7699999828","0.7699999828"
"599","1.4499999676","1.4499999676","1.4499999676"
"600","2.4199999776","2.4199999776","2.4199999776"
"601","0.1499999966","0.1499999966","0.1499999966"
"602","0.1899999958","0.1899999958","0.1899999958"
"603","2.1199999563","2.1199999563","2.1199999563"
"604","0.0099999998","0.0099999998","0.0099999998"
"605","1.1099999789","1.1099999789","1.1099999789"
"606","1.2799999714","1.2799999714","1.2799999714"
"607","0","0","0"
"608","0.5899999868","0.5899999868","0.5899999868"
"609","0.089999998","0.089999998","0.089999998"
"610","1.5899999645","1.5899999645","1.5899999645"
"611","0.4699999895","0.4699999895","0.4699999895"
"612","0.6099999864","0.6099999864","0.6099999864"
"613","0.3399999924","0.3399999924","0.3399999924"
"614","1.2599999718","1.2599999718","1.2599999718"
"615","0.1299999971","0.1299999971","0.1299999971"
"616","0","0","0"
"617","0.0499999989","0.0499999989","0.0499999989"
"618","1.0499999765","1.0499999765","1.0499999765"
"619","0.0499999989","0.0499999989","0.0499999989"
"620","0.1399999969","0.1399999969","0.1399999969"
"621","0.2899999935","0.2899999935","0.2899999935"
"622","3.1599999741","3.1599999741","3.1599999741"
"623","1.7599999625","1.7599999625","1.7599999625"
"624","0","0","0"
"625","0.1999999955","0.1999999955","0.1999999955"
"626","0.1499999966","0.1499999966","0.1499999966"
"627","0","0","0"
"628","0.0999999978","0.0999999978","0.0999999978"
"629","0.4499999899","0.4499999899","0.4499999899"
"630","0","0","0"
"631","0","0","0"
"632","0","0","0"
"633","0","0","0"
"634","1.0399999768","1.0399999768","1.0399999768"
"635","0","0","0"
"636","0.9299999792","0.9299999792","0.9299999792"
"637","1.0199999772","1.0199999772","1.0199999772"
"638","0.2899999935","0.2899999935","0.2899999935"
