"Step","DDPG_short_test_track_LIDAR - loss_critic","DDPG_short_test_track_LIDAR - loss_critic__MIN","DDPG_short_test_track_LIDAR - loss_critic__MAX"
"515","0.3205290698","0.3205290698","0.3205290698"
"516","0.3184578674","0.3184578674","0.3184578674"
"517","0.2992118748","0.2992118748","0.2992118748"
"518","0.3033599449","0.3033599449","0.3033599449"
"519","0.3080608181","0.3080608181","0.3080608181"
"520","0.3164608451","0.3164608451","0.3164608451"
"521","0.3016178467","0.3016178467","0.3016178467"
"522","0.3093134446","0.3093134446","0.3093134446"
"523","0.3062104245","0.3062104245","0.3062104245"
"524","0.3011703577","0.3011703577","0.3011703577"
"525","0.2886629847","0.2886629847","0.2886629847"
"526","0.3044982312","0.3044982312","0.3044982312"
"527","0.3028456795","0.3028456795","0.3028456795"
"528","0.3063693525","0.3063693525","0.3063693525"
"529","0.3112302786","0.3112302786","0.3112302786"
"530","0.2975213412","0.2975213412","0.2975213412"
"531","0.2919060279","0.2919060279","0.2919060279"
"532","0.3104613638","0.3104613638","0.3104613638"
"533","0.286775246","0.286775246","0.286775246"
"534","0.2893100584","0.2893100584","0.2893100584"
"535","0.2948921808","0.2948921808","0.2948921808"
"536","0.2949708348","0.2949708348","0.2949708348"
"537","0.2880989192","0.2880989192","0.2880989192"
"538","0.3043060262","0.3043060262","0.3043060262"
